VGETBL_CL
계
수 박
참 외
오 이
호 박
딸 기
가 지
멜 론
토 마 토
풋 고 추
파 프 리 카
무 전 체 (기타무+고랭지무+가을무+월동무)
무 전 체(봄무+고랭지무+가을무+겨울무)
봄무(일반무+기타무)
고 랭 지 무
가을 일반무
가을 총각무
겨 울 무
당 근
연 근
우 엉
토 란
기 타 채 소
결 구 상 추
샐 러 리
피 망
적 채
기타무(봄무+기타무)
월동무
파 세 리
꽃 양 배 추
녹 색 꽃 양 배 추
케 일
신 선 초
배 추 전 체 (기타배추+고랭지배추+가을배추+겨울배추)
기타배추(봄배추+기타배추)
고랭지배추
가을배추
겨울배추
양배추
시 금 치
상 추
미 나 리
쑥 갓
부 추
고 추
마 늘
양 파
생 강
파 (대파 + 쪽파)
대 파
쪽 파
무전체(기타무+고랭지무+가을무+겨울무)
고랭지무
겨울무
당근
연근
우엉
토란
배추전체(봄배추+고랭지배추+가을배추+겨울배추)
봄배추(일반배추+기타배추)
배 추 전 체 (봄배추+고랭지배추+가을배추+겨울배추)
건고추
시금치
상추
미나리
쑥갓
부추
수박
참외
오이
호박
딸기
가지
멜론
토마토
풋고추
파프리카
마늘
양파
생강
파(대파+쪽파)
대파
쪽파
결구상추
샐러리
피망
적채
파세리
꽃양배추
녹색꽃양배추
케일
신선초
