인증번호,소재지,품목,재배면적.제곱미터.,생산계획량.톤.
1009653,전라남도 진도군,배추,156,1.37
1009653,전라남도 진도군,배추,1470,12.92
1009653,전라남도 진도군,배추,1180,10.37
1009653,전라남도 진도군,배추,653,5.74
1009653,전라남도 진도군,배추,1530,13.45
1009653,전라남도 진도군,배추,2622,23.04
1009653,전라남도 진도군,배추,149,1.31
1009653,전라남도 진도군,배추,258,2.27
1009653,전라남도 진도군,배추,168,1.48
1009653,전라남도 진도군,배추,220,1.93
1009653,전라남도 진도군,배추,552,4.85
1009653,전라남도 진도군,배추,1000,8.79
1009653,전라남도 진도군,배추,2000,17.58
1009653,전라남도 진도군,배추,2180,19.16
1009653,전라남도 진도군,배추,820,7.21
1009653,전라남도 진도군,배추,240,2.11
1009653,전라남도 진도군,배추,373,3.28
1009653,전라남도 진도군,배추,1203,10.57
1009653,전라남도 진도군,배추,623,5.47
1009653,전라남도 진도군,배추,1294,11.37
1009653,전라남도 진도군,배추,1698,14.92
1009653,전라남도 진도군,배추,1444,12.69
1009653,전라남도 진도군,배추,1705,14.98
1009653,전라남도 진도군,배추,2000,17.58
1009653,전라남도 진도군,배추,800,7.03
1009653,전라남도 진도군,배추,1950,17.14
1009653,전라남도 진도군,배추,1050,9.23
1009653,전라남도 진도군,배추,3017,26.51
1009653,전라남도 진도군,배추,245,2.15
1009653,전라남도 진도군,배추,700,6.15
1009653,전라남도 진도군,배추,400,3.52
1009653,전라남도 진도군,배추,257,2.26
1010183,경기도 용인시 처인구,배추,1652,5
1010183,경기도 용인시 처인구,배추,1726,4
1010183,경기도 용인시 처인구,배추,341,1
1010183,경기도 용인시 처인구,배추,1868,5
1010183,경기도 용인시 처인구,배추,505,2
1010183,경기도 용인시 처인구,배추,519,4
1010183,경기도 용인시 처인구,배추,225,2
1010183,경기도 용인시 처인구,배추,505,4
1010183,경기도 용인시 처인구,배추,1868,10
1010183,경기도 용인시 처인구,배추,341,2
1010183,경기도 용인시 처인구,배추,1726,10
1010183,경기도 용인시 처인구,배추,1652,8
1010183,경기도 용인시 처인구,배추,519,2
1010183,경기도 용인시 처인구,배추,225,1
1011422,전라남도 해남군,배추,832,2.47
1011422,전라남도 해남군,배추,1452,4.32
1011422,전라남도 해남군,배추,1035,3.07
1011422,전라남도 해남군,배추,1974,5.86
1011422,전라남도 해남군,배추,1231,3.65
1011422,전라남도 해남군,배추,1006,2.99
1011422,전라남도 해남군,배추,2950,8.76
1011422,전라남도 해남군,배추,1396,4.14
1011422,전라남도 해남군,배추,2245,6.67
1011422,전라남도 해남군,배추,483,1.43
1011422,전라남도 해남군,배추,2673,7.94
1011422,전라남도 해남군,배추,2122,6.3
1011422,전라남도 해남군,배추,1538,4.57
1011422,전라남도 해남군,배추,2495,7.41
1011422,전라남도 해남군,배추,1843,5.47
1011422,전라남도 해남군,배추,2457,7.29
1011422,전라남도 해남군,배추,1076,3.19
1011422,전라남도 해남군,배추,1017,3.02
1011422,전라남도 해남군,배추,1994,5.92
1011423,전라남도 해남군,배추,1633,4.85
1011423,전라남도 해남군,배추,1289,3.83
1011423,전라남도 해남군,배추,1129,3.35
1011423,전라남도 해남군,배추,317,0.93
1011423,전라남도 해남군,배추,420,1.25
1011423,전라남도 해남군,배추,772,2.29
1011423,전라남도 해남군,배추,2383,7.08
1011423,전라남도 해남군,배추,843,2.5
1011423,전라남도 해남군,배추,1183,3.51
1011423,전라남도 해남군,배추,1714,5.09
1011423,전라남도 해남군,배추,1475,4.38
1011423,전라남도 해남군,배추,2168,6.44
1011423,전라남도 해남군,배추,1211,3.6
1011424,전라남도 해남군,배추,7643,22.69
1011424,전라남도 해남군,배추,3500,10.38
1011424,전라남도 해남군,배추,2393,7.1
1011424,전라남도 해남군,배추,780,2.32
1011424,전라남도 해남군,배추,595,1.77
1011424,전라남도 해남군,배추,813,2.41
1011424,전라남도 해남군,배추,992,2.95
1011424,전라남도 해남군,배추,2083,6.18
1011424,전라남도 해남군,배추,1362,4.04
1011424,전라남도 해남군,배추,896,2.66
1011425,전라남도 해남군,배추,1260,3.74
1011425,전라남도 해남군,배추,1260,3.74
1011425,전라남도 해남군,배추,1130,3.35
1011425,전라남도 해남군,배추,664,1.97
1011425,전라남도 해남군,배추,1633,4.85
1011425,전라남도 해남군,배추,1825,5.42
1011425,전라남도 해남군,배추,1129,3.35
1011425,전라남도 해남군,배추,1129,3.35
1011425,전라남도 해남군,배추,466,1.38
1011425,전라남도 해남군,배추,2225,6.61
1011425,전라남도 해남군,배추,774,2.3
1011425,전라남도 해남군,배추,1094,3.25
1011425,전라남도 해남군,배추,1101,3.27
1011425,전라남도 해남군,배추,1519,4.51
1011425,전라남도 해남군,배추,493,1.46
1011425,전라남도 해남군,배추,1762,5.23
1011425,전라남도 해남군,배추,1200,3.56
1011425,전라남도 해남군,배추,2268,6.73
1011427,전라남도 해남군,배추,1844,5.47
1011427,전라남도 해남군,배추,1336,3.97
1011427,전라남도 해남군,배추,1884,5.59
1011427,전라남도 해남군,배추,2701,8.02
1011427,전라남도 해남군,배추,1554,4.61
1011427,전라남도 해남군,배추,1051,3.12
1011427,전라남도 해남군,배추,1170,3.47
1011427,전라남도 해남군,배추,1944,5.77
1011427,전라남도 해남군,배추,2043,6.07
1011427,전라남도 해남군,배추,1220,3.62
1011427,전라남도 해남군,배추,774,2.3
1011427,전라남도 해남군,배추,1286,3.82
1011427,전라남도 해남군,배추,1580,4.69
1011427,전라남도 해남군,배추,1501,4.46
1011427,전라남도 해남군,배추,1759,5.22
1011427,전라남도 해남군,배추,2245,6.67
1011427,전라남도 해남군,배추,1848,5.49
1011427,전라남도 해남군,배추,3852,11.44
1011427,전라남도 해남군,배추,804,2.39
1011427,전라남도 해남군,배추,1968,5.84
1011427,전라남도 해남군,배추,983,2.92
1011427,전라남도 해남군,배추,494,1.47
1011427,전라남도 해남군,배추,2466,7.32
1011427,전라남도 해남군,배추,1200,3.56
1011427,전라남도 해남군,배추,1800,5.34
1011427,전라남도 해남군,배추,980,2.91
1011427,전라남도 해남군,배추,2926,8.69
1011427,전라남도 해남군,배추,2839,8.43
1011427,전라남도 해남군,배추,2979,8.84
1011427,전라남도 해남군,배추,2959,8.79
1011427,전라남도 해남군,배추,944,2.8
1011427,전라남도 해남군,배추,1245,3.7
1011427,전라남도 해남군,배추,2275,6.75
1011427,전라남도 해남군,배추,2622,7.78
1011427,전라남도 해남군,배추,3402,10.1
1011427,전라남도 해남군,배추,3660,10.87
1011427,전라남도 해남군,배추,2856,8.48
1011427,전라남도 해남군,배추,2112,6.27
1011427,전라남도 해남군,배추,1417,4.21
1011427,전라남도 해남군,배추,895,2.66
1011427,전라남도 해남군,배추,1444,4.29
1011427,전라남도 해남군,배추,1778,5.28
1011427,전라남도 해남군,배추,1214,3.6
1011427,전라남도 해남군,배추,1388,4.12
1011428,전라남도 해남군,배추,9498,28.05
1011428,전라남도 해남군,배추,1981,5.88
1011428,전라남도 해남군,배추,2092,6.21
1011428,전라남도 해남군,배추,585,1.74
1011428,전라남도 해남군,배추,2738,8.13
