"","인증번호","소재지","품목","재배면적.제곱미터.","시도","시도전체면적","시도전채생산량","위도","경도","연도"
"52",1009653,"전라남도 진도군","배추",802,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"53",1009653,"전라남도 진도군","배추",1980,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"54",1009653,"전라남도 진도군","배추",1377,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"55",1009653,"전라남도 진도군","배추",1922,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"56",1009653,"전라남도 진도군","배추",1162.2,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"57",1009653,"전라남도 진도군","배추",280,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"58",1009653,"전라남도 진도군","배추",61,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"59",1009653,"전라남도 진도군","배추",150,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"60",1009653,"전라남도 진도군","배추",3051,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"61",1009653,"전라남도 진도군","배추",177,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"62",1009653,"전라남도 진도군","배추",2824,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"63",1009653,"전라남도 진도군","배추",960,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"64",1009653,"전라남도 진도군","배추",1332,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"65",1009653,"전라남도 진도군","배추",1124,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"66",1009653,"전라남도 진도군","배추",1428,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"67",1009653,"전라남도 진도군","배추",2073,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"68",1009653,"전라남도 진도군","배추",995,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
"69",1009653,"전라남도 진도군","배추",1378,"전라남도",8364,701228,34.486828620348,126.263446186439,2022
